TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
312,422,519,447,243,Ethanol
311,421,519,446,243,Ethanol
311,421,519,446,242,Ethanol
310,421,519,445,242,Ethanol
310,421,519,445,241,Ethanol
310,421,519,444,241,Ethanol
309,420,519,444,241,Ethanol
309,420,519,443,240,Ethanol
308,420,519,443,240,Ethanol
308,420,518,443,240,Ethanol
307,420,518,442,240,Ethanol
307,420,518,442,239,Ethanol
307,420,518,441,239,Ethanol
306,419,518,441,239,Ethanol
306,419,518,440,239,Ethanol
305,419,518,440,238,Ethanol
305,419,518,439,238,Ethanol
305,419,518,439,238,Ethanol
304,419,518,439,238,Ethanol
304,419,518,438,237,Ethanol
303,419,518,437,237,Ethanol
303,418,517,437,237,Ethanol
303,418,517,436,236,Ethanol
302,418,517,436,236,Ethanol
302,418,517,435,236,Ethanol
301,418,517,435,235,Ethanol
301,418,517,434,235,Ethanol
300,417,517,434,235,Ethanol
300,417,517,433,234,Ethanol
299,417,517,433,234,Ethanol
299,417,517,432,234,Ethanol
298,417,516,432,233,Ethanol
298,417,516,431,233,Ethanol
297,417,516,431,233,Ethanol
297,416,516,430,232,Ethanol
296,416,516,429,232,Ethanol
296,416,516,429,232,Ethanol
295,416,516,428,231,Ethanol
295,416,516,428,231,Ethanol
294,416,516,427,231,Ethanol
294,415,516,427,230,Ethanol
293,415,516,426,230,Ethanol
293,415,515,426,229,Ethanol
292,415,515,425,229,Ethanol
292,415,515,425,229,Ethanol
292,414,515,424,228,Ethanol
291,414,515,423,228,Ethanol
290,414,515,423,228,Ethanol
290,414,515,422,227,Ethanol
289,414,515,422,227,Ethanol
289,414,515,421,227,Ethanol
288,413,514,421,226,Ethanol
288,413,514,420,226,Ethanol
288,413,514,420,226,Ethanol
287,413,514,419,225,Ethanol
287,413,514,419,225,Ethanol
286,413,514,418,224,Ethanol
286,412,514,418,224,Ethanol
285,412,514,417,224,Ethanol
285,412,514,416,223,Ethanol
284,412,513,416,223,Ethanol
284,411,513,415,223,Ethanol
283,411,513,415,222,Ethanol
283,411,513,414,222,Ethanol
282,411,513,414,222,Ethanol
282,411,513,413,221,Ethanol
281,410,513,413,221,Ethanol
280,410,513,412,221,Ethanol
280,410,512,412,220,Ethanol
279,410,512,411,220,Ethanol
279,410,512,410,219,Ethanol
278,409,512,410,219,Ethanol
278,409,512,409,219,Ethanol
277,409,512,409,218,Ethanol
277,409,512,408,218,Ethanol
276,409,511,408,217,Ethanol
276,408,511,407,217,Ethanol
275,408,511,407,217,Ethanol
275,408,511,406,216,Ethanol
274,408,511,405,216,Ethanol
274,407,511,405,215,Ethanol
273,407,510,404,215,Ethanol
273,407,510,404,215,Ethanol
272,407,510,403,214,Ethanol
272,407,510,403,214,Ethanol
271,406,510,402,214,Ethanol
271,406,510,402,213,Ethanol
270,406,510,401,213,Ethanol
270,406,509,401,213,Ethanol
269,406,509,400,212,Ethanol
269,405,509,400,212,Ethanol
268,405,509,399,211,Ethanol
268,405,509,399,211,Ethanol
267,405,509,398,211,Ethanol
267,405,509,398,210,Ethanol
266,404,509,397,210,Ethanol
266,404,508,397,210,Ethanol
265,404,508,396,209,Ethanol
265,404,508,396,209,Ethanol
264,404,508,395,208,Ethanol
264,403,508,395,208,Ethanol
264,403,508,394,208,Ethanol
263,403,507,394,208,Ethanol
