TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
43,59,32,70,24,Air
43,59,32,70,24,Air
42,58,32,72,25,Air
42,57,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,71,25,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
42,58,33,72,25,Air
43,57,30,71,27,Air
42,56,30,73,27,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,57,32,72,24,Air
42,58,32,72,25,Air
42,57,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
43,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
40,58,34,72,24,Air
41,59,34,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,33,72,25,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
42,57,32,72,25,Air
42,57,32,72,24,Air
42,58,33,72,25,Air
42,58,32,72,24,Air
43,58,32,71,24,Air
44,58,31,71,25,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,57,32,72,25,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
43,58,32,72,25,Air
42,58,32,72,25,Air
40,57,33,73,25,Air
40,57,33,73,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,58,32,71,24,Air
42,58,32,72,24,Air
42,57,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
42,58,33,72,25,Air
42,57,32,72,25,Air
42,58,32,72,24,Air
41,57,32,73,25,Air
42,57,32,72,25,Air
42,57,32,72,25,Air
43,56,32,72,25,Air
42,57,32,72,25,Air
41,57,32,73,25,Air
41,57,32,72,25,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,57,33,72,24,Air
42,58,33,72,24,Air
42,58,32,72,24,Air
40,57,33,73,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,57,32,71,24,Air
42,57,32,71,24,Air
45,58,28,70,27,Air
42,57,32,72,24,Air
42,58,32,72,25,Air
41,58,33,72,24,Air
42,58,33,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
40,59,35,72,21,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,71,24,Air
42,58,32,71,25,Air
43,58,32,71,24,Air
42,57,32,72,24,Air
42,57,33,72,24,Air
43,58,33,71,24,Air
42,57,32,71,25,Air
43,57,32,71,25,Air
42,58,32,72,24,Air
42,58,32,71,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,57,33,72,25,Air
42,58,32,71,25,Air
42,57,32,72,25,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
42,58,33,72,24,Air
43,57,32,71,25,Air
42,58,32,72,24,Air
42,58,32,72,24,Air
41,57,32,73,25,Air
42,57,33,72,25,Air
42,58,32,71,25,Air
42,58,32,72,24,Air
41,58,32,73,24,Air
42,57,32,72,24,Air
42,58,33,72,24,Air
42,57,32,72,25,Air
42,56,32,72,25,Air
42,58,32,71,24,Air
42,58,32,72,25,Air
42,58,32,72,25,Air
42,58,32,72,24,Air
40,58,34,73,24,Air
42,58,32,72,24,Air
42,58,33,72,24,Air
42,58,32,72,24,Air
42,58,33,72,24,Air
42,58,32,72,24,Air
42,58,33,72,24,Air
42,57,32,72,25,Air
42,57,32,72,25,Air
42,57,32,72,25,Air
40,57,33,73,24,Air
43,57,31,72,25,Air
42,58,32,72,24,Air
42,58,32,72,25,Air
42,57,33,72,24,Air
42,58,33,72,24,Air
41,58,32,72,25,Air
