TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
14,70,107,59,8,Air
14,70,108,59,8,Air
14,70,107,58,8,Air
14,70,108,58,8,Air
13,69,108,58,8,Air
13,70,108,58,8,Air
13,69,108,58,8,Air
13,69,108,57,8,Air
13,69,107,57,8,Air
13,69,107,57,8,Air
13,69,107,57,8,Air
13,69,107,57,8,Air
13,69,107,56,8,Air
13,69,107,56,8,Air
13,68,106,56,8,Air
13,68,106,56,8,Air
13,68,106,56,8,Air
13,68,106,56,8,Air
13,68,106,55,8,Air
13,68,106,56,8,Air
13,68,106,55,8,Air
13,68,106,55,8,Air
13,68,106,55,8,Air
13,69,106,55,8,Air
13,68,106,55,8,Air
13,68,106,55,8,Air
13,68,106,55,8,Air
13,68,106,54,8,Air
13,68,106,54,8,Air
13,68,106,55,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,54,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,106,53,8,Air
13,69,107,53,8,Air
13,69,107,53,8,Air
13,69,107,52,8,Air
13,69,107,52,8,Air
13,70,107,53,8,Air
13,70,108,53,8,Air
13,70,107,53,8,Air
13,70,108,53,8,Air
13,69,107,52,8,Air
13,69,107,52,8,Air
13,69,108,52,8,Air
13,70,107,52,8,Air
13,70,107,52,8,Air
13,70,107,52,8,Air
251,421,613,708,496,HS
280,438,657,761,519,HS
316,452,688,779,533,HS
334,462,709,775,538,HS
346,460,720,750,533,HS
357,456,727,735,511,HS
358,457,735,730,496,HS
380,465,743,730,505,HS
372,465,750,732,480,HS
361,466,757,735,459,HS
348,468,763,739,485,HS
330,470,769,743,486,HS
341,473,774,748,488,HS
351,477,779,752,494,HS
357,480,783,757,495,HS
352,481,788,761,482,HS
370,484,791,766,476,HS
380,488,795,770,481,HS
380,491,798,774,485,HS
371,494,801,778,485,HS
360,497,805,782,450,HS
351,501,807,786,444,HS
343,504,810,790,422,HS
325,506,812,793,391,HS
306,507,815,796,413,HS
288,508,816,799,424,HS
274,510,818,802,435,HS
275,513,820,805,456,HS
292,516,822,807,425,HS
316,518,823,809,433,HS
332,521,825,812,462,HS
332,522,826,813,470,HS
331,520,827,814,474,HS
332,518,828,815,474,HS
338,517,829,816,457,HS
329,516,829,817,454,HS
324,515,830,818,440,HS
317,513,831,818,428,HS
325,512,831,819,445,HS
328,512,832,819,470,HS
331,512,832,820,494,HS
332,512,833,820,494,HS
345,513,833,820,488,HS
352,515,833,821,498,HS
350,515,834,821,488,HS
353,515,834,821,463,HS
353,517,834,821,450,HS
354,518,835,821,452,HS
353,519,835,821,454,HS
355,520,835,821,467,HS
356,522,836,821,476,HS
365,525,836,821,472,HS
374,526,837,821,462,HS
379,527,837,821,462,HS
378,525,837,820,443,HS
363,522,837,819,441,HS
352,521,837,819,453,HS
341,518,837,819,441,HS
341,518,837,819,441,HS
341,518,837,819,441,HS
