TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
21.0,70.0,49.0,8.0,69.0,Breath
21.0,68.0,47.0,9.0,66.0,Breath
21.0,68.0,45.0,12.0,71.0,Breath
21.0,68.0,44.0,16.0,83.0,Breath
21.0,67.0,43.0,18.0,96.0,Breath
21.0,67.0,42.0,19.0,107.0,Breath
21.0,65.0,41.0,19.0,114.0,Breath
22.0,64.0,40.0,15.0,112.0,Breath
22.0,63.0,38.0,12.0,103.0,Breath
22.0,61.0,37.0,11.0,96.0,Breath
22.0,61.0,36.0,12.0,90.0,Breath
22.0,61.0,37.0,14.0,96.0,Breath
22.0,61.0,36.0,16.0,104.0,Breath
22.0,61.0,36.0,16.0,110.0,Breath
23.0,60.0,36.0,14.0,112.0,Breath
23.0,59.0,35.0,12.0,105.0,Breath
23.0,57.0,33.0,10.0,96.0,Breath
22.0,56.0,32.0,9.0,89.0,Breath
22.0,54.0,31.0,9.0,82.0,Breath
21.0,53.0,31.0,14.0,87.0,Breath
22.0,52.0,30.0,19.0,103.0,Breath
22.0,52.0,30.0,22.0,114.0,Breath
23.0,52.0,29.0,18.0,114.0,Breath
23.0,51.0,28.0,14.0,107.0,Breath
22.0,49.0,27.0,13.0,98.0,Breath
21.0,48.0,26.0,18.0,95.0,Breath
21.0,48.0,26.0,19.0,96.0,Breath
21.0,47.0,26.0,24.0,100.0,Breath
21.0,46.0,26.0,25.0,111.0,Breath
22.0,46.0,26.0,23.0,124.0,Breath
23.0,45.0,26.0,20.0,128.0,Breath
23.0,44.0,26.0,17.0,121.0,Breath
23.0,43.0,25.0,14.0,111.0,Breath
22.0,42.0,25.0,13.0,102.0,Breath
22.0,41.0,25.0,13.0,105.0,Breath
21.0,40.0,26.0,15.0,114.0,Breath
21.0,40.0,28.0,15.0,122.0,Breath
21.0,39.0,30.0,15.0,128.0,Breath
21.0,39.0,30.0,13.0,124.0,Breath
20.0,38.0,30.0,12.0,113.0,Breath
20.0,37.0,29.0,11.0,103.0,Breath
19.0,36.0,28.0,10.0,95.0,Breath
19.0,35.0,26.0,10.0,88.0,Breath
19.0,35.0,27.0,15.0,91.0,Breath
19.0,35.0,28.0,17.0,103.0,Breath
18.0,35.0,29.0,19.0,116.0,Breath
19.0,35.0,30.0,20.0,126.0,Breath
19.0,36.0,31.0,17.0,129.0,Breath
20.0,37.0,31.0,15.0,122.0,Breath
20.0,38.0,30.0,14.0,112.0,Breath
20.0,39.0,29.0,13.0,102.0,Breath
20.0,41.0,29.0,17.0,101.0,Breath
20.0,43.0,30.0,19.0,115.0,Breath
21.0,45.0,30.0,19.0,132.0,Breath
22.0,47.0,31.0,18.0,144.0,Breath
23.0,48.0,31.0,15.0,145.0,Breath
24.0,48.0,31.0,13.0,134.0,Breath
23.0,48.0,31.0,12.0,122.0,Breath
23.0,49.0,31.0,13.0,112.0,Breath
23.0,49.0,31.0,19.0,116.0,Breath
23.0,50.0,31.0,23.0,127.0,Breath
23.0,49.0,31.0,26.0,136.0,Breath
23.0,49.0,31.0,27.0,143.0,Breath
23.0,48.0,31.0,30.0,148.0,Breath
23.0,48.0,31.0,24.0,145.0,Breath
23.0,47.0,30.0,20.0,134.0,Breath
23.0,47.0,30.0,17.0,121.0,Breath
23.0,47.0,29.0,16.0,110.0,Breath
22.0,46.0,28.0,25.0,110.0,Breath
22.0,45.0,27.0,31.0,119.0,Breath
22.0,44.0,26.0,32.0,129.0,Breath
22.0,43.0,26.0,32.0,136.0,Breath
21.0,42.0,25.0,27.0,135.0,Breath
22.0,42.0,25.0,22.0,129.0,Breath
21.0,41.0,24.0,19.0,120.0,Breath
21.0,41.0,23.0,17.0,110.0,Breath
20.0,40.0,23.0,16.0,101.0,Breath
20.0,39.0,22.0,18.0,94.0,Breath
20.0,38.0,22.0,22.0,101.0,Breath
20.0,38.0,21.0,22.0,110.0,Breath
20.0,37.0,21.0,22.0,117.0,Breath
20.0,37.0,21.0,22.0,125.0,Breath
20.0,36.0,21.0,21.0,130.0,Breath
21.0,36.0,21.0,17.0,124.0,Breath
21.0,36.0,20.0,16.0,113.0,Breath
21.0,35.0,20.0,15.0,105.0,Breath
21.0,35.0,21.0,18.0,110.0,Breath
20.0,35.0,22.0,18.0,120.0,Breath
20.0,35.0,23.0,17.0,129.0,Breath
20.0,34.0,24.0,15.0,130.0,Breath
20.0,34.0,23.0,14.0,121.0,Breath
20.0,33.0,23.0,13.0,110.0,Breath
19.0,33.0,22.0,12.0,100.0,Breath
19.0,32.0,22.0,13.0,94.0,Breath
19.0,33.0,22.0,20.0,101.0,Breath
19.0,34.0,22.0,26.0,115.0,Breath
20.0,36.0,22.0,29.0,126.0,Breath
21.0,37.0,22.0,26.0,129.0,Breath
21.0,38.0,22.0,21.0,122.0,Breath
20.0,38.0,22.0,18.0,112.0,Breath
20.0,38.0,22.0,20.0,106.0,Breath
20.0,38.0,21.0,24.0,102.0,Breath
20.0,38.0,21.0,25.0,101.0,Breath
20.0,38.0,21.0,21.0,100.0,Breath
20.0,38.0,20.0,18.0,96.0,Breath
