TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
10.0,13.0,7.0,3.0,21.0,Air
10.0,14.0,7.0,3.0,21.0,Air
10.0,14.0,7.0,3.0,21.0,Air
10.0,14.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,21.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
10.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,21.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
10.0,13.0,7.0,3.0,20.0,Air
10.0,13.0,7.0,3.0,20.0,Air
9.0,13.0,7.0,3.0,20.0,Air
