TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,22.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,13.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
12.0,23.0,14.0,20.0,6.0,Air
