TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,22,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,13,20,6,Air
12,23,14,20,6,Air
12,23,13,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,13,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,15,20,6,Air
12,23,15,20,6,Air
12,23,14,20,6,Air
12,23,15,20,6,Air
12,23,14,20,6,Air
12,23,15,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,14,20,6,Air
12,23,15,20,6,Air
12,23,14,20,6,Air
12,23,15,20,6,Air
12,23,15,20,6,Air
12,23,15,20,6,Air
12,23,15,20,6,Air
12,23,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,23,15,20,6,Air
12,24,14,20,6,Air
12,23,15,20,6,Air
12,23,15,20,6,Air
12,24,15,20,6,Air
12,23,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
11,24,15,20,6,Air
12,24,15,20,6,Air
11,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,16,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,15,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,24,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,24,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,24,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,7,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
11,25,17,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,16,20,6,Air
12,25,16,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,26,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
12,25,17,20,6,Air
