TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
22,37,32,42,12,Air
22,37,31,42,12,Air
22,37,31,42,12,Air
22,37,30,41,12,Air
22,37,29,41,12,Air
22,37,29,41,12,Air
21,37,28,40,12,Air
21,37,28,40,12,Air
21,37,28,40,12,Air
21,36,27,40,12,Air
21,36,27,39,12,Air
21,36,26,39,12,Air
21,36,26,39,12,Air
20,36,26,39,12,Air
21,36,26,39,12,Air
20,36,25,39,12,Air
20,36,25,38,12,Air
20,36,25,38,12,Air
20,36,25,38,11,Air
20,36,25,38,12,Air
20,36,25,38,12,Air
20,36,25,38,11,Air
20,36,25,38,11,Air
20,36,25,38,11,Air
19,36,25,38,12,Air
19,36,25,38,11,Air
19,36,25,38,11,Air
19,36,25,37,11,Air
19,35,25,37,11,Air
19,35,25,37,11,Air
19,35,25,37,11,Air
19,36,25,37,11,Air
19,35,25,37,11,Air
19,35,25,37,11,Air
19,35,26,37,11,Air
19,35,26,37,11,Air
19,35,26,37,11,Air
19,35,26,37,11,Air
18,35,26,37,11,Air
19,35,26,37,11,Air
18,35,26,37,11,Air
18,35,27,37,11,Air
18,35,27,37,11,Air
18,35,27,37,11,Air
18,35,27,37,11,Air
18,35,27,37,11,Air
18,35,28,37,11,Air
18,35,28,37,11,Air
18,35,28,37,11,Air
18,35,28,37,11,Air
18,35,28,37,11,Air
18,35,29,37,11,Air
18,35,29,37,11,Air
18,35,29,37,11,Air
18,35,29,37,11,Air
18,35,29,37,11,Air
18,35,30,37,11,Air
18,35,30,37,11,Air
18,35,30,37,11,Air
18,35,30,37,11,Air
18,35,31,37,11,Air
18,35,31,37,11,Air
18,35,31,37,11,Air
18,35,31,37,11,Air
18,35,31,37,11,Air
18,35,31,37,11,Air
18,35,32,37,11,Air
18,35,32,37,11,Air
17,35,32,37,11,Air
18,35,33,37,11,Air
17,35,33,37,11,Air
17,35,33,37,11,Air
17,35,33,37,11,Air
17,35,33,37,11,Air
17,35,33,37,11,Air
17,35,34,37,11,Air
17,35,34,37,11,Air
17,35,34,37,10,Air
17,35,34,37,11,Air
17,35,35,38,11,Air
17,35,35,37,11,Air
17,35,35,37,11,Air
17,35,35,37,11,Air
17,35,36,38,11,Air
17,35,36,38,11,Air
17,36,36,38,11,Air
17,35,36,38,11,Air
17,35,37,38,11,Air
17,35,37,38,11,Air
17,35,37,38,10,Air
17,35,37,38,11,Air
