TGS2600,TGS2603,TGS2602,TGS2620,TGS832A
251,421,613,708,496
280,438,657,761,519
316,452,688,779,533
334,462,709,775,538
346,460,720,750,533
357,456,727,735,511
358,457,735,730,496
380,465,743,730,505
372,465,750,732,480
361,466,757,735,459
348,468,763,739,485
330,470,769,743,486
341,473,774,748,488
351,477,779,752,494
357,480,783,757,495
352,481,788,761,482
370,484,791,766,476
380,488,795,770,481
380,491,798,774,485
371,494,801,778,485
360,497,805,782,450
351,501,807,786,444
343,504,810,790,422
325,506,812,793,391
306,507,815,796,413
288,508,816,799,424
274,510,818,802,435
275,513,820,805,456
292,516,822,807,425
316,518,823,809,433
332,521,825,812,462
332,522,826,813,470
331,520,827,814,474
332,518,828,815,474
338,517,829,816,457
329,516,829,817,454
324,515,830,818,440
317,513,831,818,428
325,512,831,819,445
328,512,832,819,470
331,512,832,820,494
332,512,833,820,494
345,513,833,820,488
352,515,833,821,498
350,515,834,821,488
353,515,834,821,463
353,517,834,821,450
354,518,835,821,452
353,519,835,821,454
355,520,835,821,467
356,522,836,821,476
365,525,836,821,472
374,526,837,821,462
379,527,837,821,462
378,525,837,820,443
363,522,837,819,441
352,521,837,819,453
341,518,837,819,441
341,518,837,819,441
341,518,837,819,441
