TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
12.0,31.0,10.0,20.0,7.0,Beehive#1
13.0,30.0,12.0,21.0,6.0,Beehive#1
13.0,31.0,10.0,20.0,8.0,Beehive#1
13.0,30.0,11.0,21.0,6.0,Beehive#1
14.0,30.0,12.0,21.0,6.0,Beehive#1
14.0,30.0,12.0,21.0,7.0,Beehive#1
13.0,31.0,11.0,20.0,8.0,Beehive#1
13.0,31.0,10.0,20.0,9.0,Beehive#1
14.0,31.0,11.0,21.0,6.0,Beehive#1
13.0,31.0,10.0,21.0,6.0,Beehive#1
14.0,29.0,11.0,21.0,6.0,Beehive#1
13.0,30.0,11.0,20.0,8.0,Beehive#1
12.0,30.0,11.0,21.0,6.0,Beehive#1
14.0,30.0,11.0,21.0,6.0,Beehive#1
12.0,31.0,10.0,21.0,7.0,Beehive#1
13.0,29.0,12.0,21.0,6.0,Beehive#1
13.0,30.0,10.0,21.0,7.0,Beehive#1
13.0,30.0,11.0,21.0,6.0,Beehive#1
13.0,30.0,11.0,20.0,9.0,Beehive#1
13.0,30.0,11.0,21.0,6.0,Beehive#1
13.0,30.0,10.0,21.0,6.0,Beehive#1
12.0,29.0,10.0,21.0,8.0,Beehive#1
12.0,29.0,11.0,20.0,6.0,Beehive#1
13.0,30.0,10.0,21.0,6.0,Beehive#1
12.0,29.0,11.0,20.0,8.0,Beehive#1
14.0,28.0,11.0,20.0,8.0,Beehive#1
13.0,29.0,10.0,21.0,7.0,Beehive#1
13.0,29.0,10.0,20.0,8.0,Beehive#1
13.0,28.0,11.0,20.0,8.0,Beehive#1
13.0,28.0,11.0,20.0,8.0,Beehive#1
12.0,29.0,11.0,20.0,7.0,Beehive#1
13.0,28.0,12.0,21.0,6.0,Beehive#1
12.0,29.0,10.0,20.0,8.0,Beehive#1
13.0,28.0,11.0,20.0,6.0,Beehive#1
13.0,28.0,11.0,21.0,6.0,Beehive#1
13.0,28.0,10.0,21.0,7.0,Beehive#1
14.0,27.0,10.0,21.0,6.0,Beehive#1
13.0,27.0,11.0,21.0,6.0,Beehive#1
12.0,28.0,11.0,19.0,6.0,Beehive#1
12.0,28.0,11.0,19.0,7.0,Beehive#1
12.0,27.0,11.0,18.0,8.0,Beehive#1
14.0,27.0,11.0,19.0,6.0,Beehive#1
13.0,27.0,10.0,20.0,8.0,Beehive#1
13.0,26.0,10.0,20.0,8.0,Beehive#1
13.0,27.0,10.0,20.0,7.0,Beehive#1
13.0,27.0,10.0,21.0,6.0,Beehive#1
12.0,27.0,10.0,20.0,8.0,Beehive#1
13.0,26.0,11.0,19.0,6.0,Beehive#1
13.0,26.0,10.0,19.0,6.0,Beehive#1
13.0,27.0,11.0,18.0,8.0,Beehive#1
13.0,27.0,10.0,20.0,8.0,Beehive#1
13.0,27.0,10.0,20.0,8.0,Beehive#1
12.0,27.0,11.0,19.0,8.0,Beehive#1
13.0,26.0,10.0,19.0,6.0,Beehive#1
12.0,27.0,10.0,20.0,8.0,Beehive#1
13.0,26.0,11.0,19.0,6.0,Beehive#1
13.0,27.0,10.0,20.0,8.0,Beehive#1
12.0,27.0,10.0,20.0,8.0,Beehive#1
12.0,26.0,11.0,19.0,7.0,Beehive#1
12.0,27.0,10.0,20.0,7.0,Beehive#1
12.0,25.0,11.0,20.0,7.0,Beehive#1
12.0,26.0,11.0,18.0,8.0,Beehive#1
12.0,27.0,10.0,20.0,7.0,Beehive#1
12.0,25.0,11.0,18.0,6.0,Beehive#1
12.0,26.0,10.0,19.0,6.0,Beehive#1
13.0,26.0,10.0,19.0,7.0,Beehive#1
13.0,24.0,11.0,19.0,6.0,Beehive#1
12.0,26.0,10.0,18.0,7.0,Beehive#1
12.0,25.0,10.0,18.0,7.0,Beehive#1
13.0,24.0,11.0,19.0,6.0,Beehive#1
12.0,25.0,11.0,19.0,7.0,Beehive#1
13.0,24.0,11.0,18.0,6.0,Beehive#1
13.0,26.0,10.0,19.0,6.0,Beehive#1
12.0,25.0,11.0,18.0,7.0,Beehive#1
12.0,26.0,10.0,19.0,6.0,Beehive#1
12.0,25.0,11.0,18.0,8.0,Beehive#1
13.0,25.0,10.0,19.0,6.0,Beehive#1
12.0,25.0,10.0,19.0,7.0,Beehive#1
12.0,24.0,11.0,19.0,6.0,Beehive#1
11.0,24.0,11.0,18.0,6.0,Beehive#1
12.0,25.0,10.0,18.0,7.0,Beehive#1
12.0,25.0,11.0,18.0,7.0,Beehive#1
13.0,24.0,11.0,19.0,6.0,Beehive#1
12.0,26.0,9.0,18.0,7.0,Beehive#1
11.0,25.0,10.0,19.0,6.0,Beehive#1
13.0,25.0,10.0,19.0,6.0,Beehive#1
12.0,26.0,10.0,19.0,6.0,Beehive#1
13.0,23.0,10.0,19.0,7.0,Beehive#1
11.0,23.0,10.0,19.0,6.0,Beehive#1
12.0,24.0,11.0,17.0,7.0,Beehive#1
12.0,25.0,10.0,18.0,8.0,Beehive#1
12.0,25.0,10.0,19.0,6.0,Beehive#1
13.0,24.0,11.0,18.0,6.0,Beehive#1
13.0,24.0,11.0,18.0,7.0,Beehive#1
11.0,24.0,10.0,19.0,7.0,Beehive#1
11.0,23.0,10.0,18.0,6.0,Beehive#1
12.0,25.0,10.0,17.0,7.0,Beehive#1
12.0,25.0,10.0,19.0,6.0,Beehive#1
11.0,25.0,11.0,18.0,8.0,Beehive#1
13.0,25.0,10.0,19.0,7.0,Beehive#1
12.0,25.0,10.0,19.0,6.0,Beehive#1
11.0,24.0,11.0,18.0,6.0,Beehive#1
11.0,24.0,11.0,19.0,6.0,Beehive#1
12.0,24.0,11.0,18.0,5.0,Beehive#1
12.0,24.0,12.0,18.0,7.0,Beehive#1
11.0,24.0,11.0,18.0,6.0,Beehive#1
11.0,24.0,11.0,19.0,6.0,Beehive#1
12.0,25.0,10.0,19.0,6.0,Beehive#1
13.0,23.0,10.0,19.0,7.0,Beehive#1
11.0,24.0,11.0,18.0,8.0,Beehive#1
11.0,24.0,11.0,18.0,6.0,Beehive#1
12.0,24.0,11.0,18.0,6.0,Beehive#1
12.0,25.0,11.0,17.0,8.0,Beehive#1
10.0,25.0,11.0,18.0,5.0,Beehive#1
13.0,24.0,11.0,16.0,6.0,Beehive#1
12.0,25.0,11.0,16.0,8.0,Beehive#1
11.0,25.0,10.0,19.0,6.0,Beehive#1
12.0,25.0,11.0,18.0,5.0,Beehive#1
11.0,24.0,11.0,18.0,6.0,Beehive#1
11.0,,,,,Beehive#1
TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
15.0,35.0,10.0,24.0,9.0,Beehive#2-30
15.0,35.0,10.0,24.0,8.0,Beehive#2-30
14.0,35.0,10.0,24.0,10.0,Beehive#2-30
14.0,35.0,8.0,24.0,8.0,Beehive#2-30
14.0,35.0,10.0,24.0,8.0,Beehive#2-30
15.0,34.0,9.0,22.0,9.0,Beehive#2-30
13.0,34.0,9.0,23.0,8.0,Beehive#2-30
13.0,34.0,10.0,22.0,9.0,Beehive#2-30
13.0,34.0,8.0,23.0,9.0,Beehive#2-30
14.0,35.0,8.0,23.0,8.0,Beehive#2-30
13.0,34.0,9.0,22.0,9.0,Beehive#2-30
14.0,35.0,8.0,22.0,9.0,Beehive#2-30
16.0,32.0,9.0,22.0,9.0,Beehive#2-30
14.0,34.0,8.0,22.0,9.0,Beehive#2-30
15.0,32.0,8.0,23.0,7.0,Beehive#2-30
13.0,33.0,10.0,22.0,9.0,Beehive#2-30
13.0,33.0,7.0,22.0,9.0,Beehive#2-30
14.0,31.0,8.0,23.0,8.0,Beehive#2-30
13.0,32.0,9.0,22.0,9.0,Beehive#2-30
15.0,30.0,9.0,22.0,7.0,Beehive#2-30
13.0,32.0,9.0,22.0,9.0,Beehive#2-30
13.0,33.0,9.0,22.0,8.0,Beehive#2-30
13.0,32.0,8.0,23.0,7.0,Beehive#2-30
14.0,31.0,9.0,21.0,9.0,Beehive#2-30
15.0,30.0,10.0,21.0,7.0,Beehive#2-30
13.0,31.0,8.0,23.0,8.0,Beehive#2-30
