TGS2600,TGS2603,TGS2602,TGS2620,TGS832A
14,70,107,59,8
14,70,108,59,8
14,70,107,58,8
14,70,108,58,8
13,69,108,58,8
13,70,108,58,8
13,69,108,58,8
13,69,108,57,8
13,69,107,57,8
13,69,107,57,8
13,69,107,57,8
13,69,107,57,8
13,69,107,56,8
13,69,107,56,8
13,68,106,56,8
13,68,106,56,8
13,68,106,56,8
13,68,106,56,8
13,68,106,55,8
13,68,106,56,8
13,68,106,55,8
13,68,106,55,8
13,68,106,55,8
13,69,106,55,8
13,68,106,55,8
13,68,106,55,8
13,68,106,55,8
13,68,106,54,8
13,68,106,54,8
13,68,106,55,8
13,69,106,54,8
13,69,106,54,8
13,69,106,54,8
13,69,106,54,8
13,69,106,54,8
13,69,106,54,8
13,69,106,54,8
13,69,106,54,8
13,69,106,53,8
13,69,106,53,8
13,69,106,53,8
13,69,106,53,8
13,69,106,53,8
13,69,106,53,8
13,69,106,53,8
13,69,106,53,8
13,69,107,53,8
13,69,107,53,8
13,69,107,52,8
13,69,107,52,8
13,70,107,53,8
13,70,108,53,8
13,70,107,53,8
13,70,108,53,8
13,69,107,52,8
13,69,107,52,8
13,69,108,52,8
13,70,107,52,8
13,70,107,52,8
13,70,107,52,8
